relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.043,0.043,0.183,0.183,[X] was born in [Y] .
P20,0.034,0.034,0.152,0.152,[X] died in [Y] .
P279,0.0990990990990991,0.0990990990990991,0.30430430430430433,0.30430430430430433,[X] is a subclass of [Y] .
P37,0.325,0.325,0.503,0.503,The official language of [X] is [Y] .
P413,0.0,0.0,0.007,0.007,[X] plays in [Y] position .
P166,0.004,0.004,0.13,0.13,[X] was awarded the [Y] .
P449,0.005005005005005005,0.005005005005005005,0.3163163163163163,0.3163163163163163,[X] was originally aired on [Y] .
P69,0.0,0.0,0.24949698189134809,0.24949698189134809,[X] was educated at the University of [Y] .
P47,0.025,0.025,0.145,0.145,[X] shares border with [Y] .
P138,0.016,0.016,0.13,0.13,[X] is named after [Y] .
P364,0.19759277833500502,0.19759277833500502,0.43029087261785354,0.43029087261785354,The original language of [X] is [Y] .
P54,0.0,0.0,0.17417417417417416,0.17417417417417416,[X] plays with [Y] .
P463,0.02,0.02,0.155,0.155,[X] is a member of [Y] .
P101,0.014014014014014014,0.014014014014014014,0.23023023023023023,0.23023023023023023,[X] works in the field of [Y] .
P1923,0.0,0.0,0.2884422110552764,0.2884422110552764,[Y] participated in the [X] .
P106,0.0030120481927710845,0.0030120481927710845,0.10441767068273092,0.10441767068273092,[X] is a [Y] by profession .
P527,0.008008008008008008,0.008008008008008008,0.16416416416416416,0.16416416416416416,[X] consists of [Y] .
P102,0.0,0.0,0.28986960882647944,0.28986960882647944,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.047,0.047,[X] maintains diplomatic relations with [Y] .
P176,0.233,0.233,0.367,0.367,[X] is produced by [Y] .
P27,0.0,0.0,0.121,0.121,[X] is [Y] citizen .
P407,0.113,0.113,0.146,0.146,[X] was written in [Y] .
P30,0.145,0.145,0.211,0.211,[X] is located in [Y] .
P178,0.10932798395185557,0.10932798395185557,0.2728184553660983,0.2728184553660983,[X] is developed by [Y] .
P1376,0.14114114114114115,0.14114114114114115,0.25825825825825827,0.25825825825825827,[X] is the capital of [Y] .
P131,0.133,0.133,0.273,0.273,[X] is located in [Y] .
P1412,0.13413413413413414,0.13413413413413414,0.17517517517517517,0.17517517517517517,[X] used to communicate in [Y] .
P108,0.0,0.0,0.2201005025125628,0.2201005025125628,[X] works for [Y] .
P136,0.0,0.0,0.1653306613226453,0.1653306613226453,[X] plays [Y] music .
P17,0.18618618618618618,0.18618618618618618,0.31431431431431434,0.31431431431431434,[X] is located in [Y] .
P39,0.0,0.0,0.159,0.159,[X] has the position of [Y] .
P264,0.0,0.0,0.143,0.143,[X] is represented by music label [Y] .
P276,0.058,0.058,0.205,0.205,[X] is located in [Y] .
P937,0.003,0.003,0.059,0.059,[X] used to work in [Y] .
P140,0.0,0.0,0.27382146439317956,0.27382146439317956,[X] is affiliated with the [Y] religion .
P1303,0.001001001001001001,0.001001001001001001,0.02002002002002002,0.02002002002002002,[X] plays [Y] .
P127,0.039,0.039,0.187,0.187,[X] is owned by [Y] .
P103,0.657,0.657,0.76,0.76,The native language of [X] is [Y] .
P190,0.0070140280561122245,0.0070140280561122245,0.23647294589178355,0.23647294589178355,[X] and [Y] are twin cities .
P1001,0.3263263263263263,0.3263263263263263,0.44244244244244246,0.44244244244244246,[X] is a legal term in [Y] .
P31,0.116,0.116,0.222,0.222,[X] is a [Y] .
P495,0.009,0.009,0.174,0.174,[X] was created in [Y] .
P159,0.1414141414141414,0.1414141414141414,0.2676767676767677,0.2676767676767677,The headquarter of [X] is in [Y] .
P36,0.1523046092184369,0.1523046092184369,0.2745490981963928,0.2745490981963928,The capital of [X] is [Y] .
P740,0.005030181086519115,0.005030181086519115,0.07746478873239436,0.07746478873239436,[X] was founded in [Y] .
P361,0.004,0.004,0.14,0.14,[X] is part of [Y] .
