relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.085,0.085,0.273,0.273,[X] was born in [Y] .
P20,0.109,0.109,0.304,0.304,[X] died in [Y] .
P279,0.11311311311311312,0.11311311311311312,0.3333333333333333,0.3333333333333333,[X] is a subclass of [Y] .
P37,0.365,0.365,0.607,0.607,The official language of [X] is [Y] .
P413,0.0,0.0,0.008,0.008,[X] plays in [Y] position .
P166,0.0,0.0,0.044,0.044,[X] was awarded the [Y] .
P449,0.02702702702702703,0.02702702702702703,0.3263263263263263,0.3263263263263263,[X] was originally aired on [Y] .
P69,0.0,0.0,0.12374245472837023,0.12374245472837023,[X] was educated at the University of [Y] .
P47,0.104,0.104,0.422,0.422,[X] shares border with [Y] .
P138,0.004,0.004,0.122,0.122,[X] is named after [Y] .
P364,0.2688064192577733,0.2688064192577733,0.6930792377131394,0.6930792377131394,The original language of [X] is [Y] .
P54,0.0,0.0,0.12912912912912913,0.12912912912912913,[X] plays with [Y] .
P463,0.037,0.037,0.089,0.089,[X] is a member of [Y] .
P101,0.01701701701701702,0.01701701701701702,0.06406406406406406,0.06406406406406406,[X] works in the field of [Y] .
P1923,0.0,0.0,0.07135678391959799,0.07135678391959799,[Y] participated in the [X] .
P106,0.007028112449799197,0.007028112449799197,0.428714859437751,0.428714859437751,[X] is a [Y] by profession .
P527,0.01701701701701702,0.01701701701701702,0.21621621621621623,0.21621621621621623,[X] consists of [Y] .
P102,0.0,0.0,0.06519558676028084,0.06519558676028084,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.043,0.043,[X] maintains diplomatic relations with [Y] .
P176,0.212,0.212,0.293,0.293,[X] is produced by [Y] .
P27,0.0,0.0,0.103,0.103,[X] is [Y] citizen .
P407,0.348,0.348,0.601,0.601,[X] was written in [Y] .
P30,0.192,0.192,0.398,0.398,[X] is located in [Y] .
P178,0.1123370110330993,0.1123370110330993,0.1765295887662989,0.1765295887662989,[X] is developed by [Y] .
P1376,0.14714714714714713,0.14714714714714713,0.2722722722722723,0.2722722722722723,[X] is the capital of [Y] .
P131,0.17,0.17,0.298,0.298,[X] is located in [Y] .
P1412,0.3963963963963964,0.3963963963963964,0.5365365365365365,0.5365365365365365,[X] used to communicate in [Y] .
P108,0.0,0.0,0.10954773869346733,0.10954773869346733,[X] works for [Y] .
P136,0.0,0.0,0.10821643286573146,0.10821643286573146,[X] plays [Y] music .
P17,0.27627627627627627,0.27627627627627627,0.4864864864864865,0.4864864864864865,[X] is located in [Y] .
P39,0.009,0.009,0.221,0.221,[X] has the position of [Y] .
P264,0.0,0.0,0.127,0.127,[X] is represented by music label [Y] .
P276,0.088,0.088,0.237,0.237,[X] is located in [Y] .
P937,0.058,0.058,0.128,0.128,[X] used to work in [Y] .
P140,0.0010030090270812437,0.0010030090270812437,0.32698094282848544,0.32698094282848544,[X] is affiliated with the [Y] religion .
P1303,0.004004004004004004,0.004004004004004004,0.13513513513513514,0.13513513513513514,[X] plays [Y] .
P127,0.04,0.04,0.167,0.167,[X] is owned by [Y] .
P103,0.703,0.703,0.858,0.858,The native language of [X] is [Y] .
P190,0.023046092184368736,0.023046092184368736,0.5521042084168337,0.5521042084168337,[X] and [Y] are twin cities .
P1001,0.30930930930930933,0.30930930930930933,0.4044044044044044,0.4044044044044044,[X] is a legal term in [Y] .
P31,0.112,0.112,0.242,0.242,[X] is a [Y] .
P495,0.028,0.028,0.291,0.291,[X] was created in [Y] .
P159,0.17272727272727273,0.17272727272727273,0.30404040404040406,0.30404040404040406,The headquarter of [X] is in [Y] .
P36,0.19438877755511022,0.19438877755511022,0.30861723446893785,0.30861723446893785,The capital of [X] is [Y] .
P740,0.02112676056338028,0.02112676056338028,0.14688128772635814,0.14688128772635814,[X] was founded in [Y] .
P361,0.007,0.007,0.163,0.163,[X] is part of [Y] .
