relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.006607929515418502,0.006607929515418502,0.22136563876651982,0.22136563876651982,[X] nació en [Y] .
P20,0.0010869565217391304,0.0010869565217391304,0.391304347826087,0.391304347826087,[X] murió en [Y] .
P279,0.08943089430894309,0.08943089430894309,0.34552845528455284,0.34552845528455284,[X] es una subclase de [Y] .
P37,0.004296455424274973,0.004296455424274973,0.23415682062298604,0.23415682062298604,La lengua oficial de [X] es [Y] .
P413,0.251900108577633,0.251900108577633,0.3789359391965255,0.3789359391965255,[X] juega en la posición de [Y] .
P166,0.0,0.0,0.06444188722669736,0.06444188722669736,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.20051413881748073,0.20051413881748073,[X] fue emitido originalmente en [Y] .
P69,0.0,0.0,0.22235023041474655,0.22235023041474655,[X] fue educado en la Universidad de [Y] .
P47,0.017293997965412006,0.017293997965412006,0.17497456765005087,0.17497456765005087,[X] comparte una frontera con [Y] .
P138,0.04537521815008726,0.04537521815008726,0.15532286212914484,0.15532286212914484,[X] recibiò su nombre de [Y] .
P364,0.3370473537604457,0.3370473537604457,0.8217270194986073,0.8217270194986073,El idioma original de [X] es [Y] .
P54,0.0,0.0,0.06423034330011074,0.06423034330011074,[X] juega con [Y] .
P463,0.00536480686695279,0.00536480686695279,0.03648068669527897,0.03648068669527897,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.0,0.0,0.13333333333333333,0.13333333333333333,[X] trabaja en [Y] .
P1923,0.0,0.0,0.0012048192771084338,0.0012048192771084338,[Y] participo en [X] .
P106,0.03397027600849257,0.03397027600849257,0.4851380042462845,0.4851380042462845,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.014201183431952662,0.014201183431952662,0.1727810650887574,0.1727810650887574,[X] consiste de [Y] .
P102,0.0,0.0,0.011848341232227487,0.011848341232227487,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.002,0.002,0.241,0.241,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.23597678916827852,0.23597678916827852,0.32108317214700194,0.32108317214700194,[X] es producido por [Y] .
P27,0.2877005347593583,0.2877005347593583,0.5176470588235295,0.5176470588235295,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
P407,0.02014388489208633,0.02014388489208633,0.5151079136690647,0.5151079136690647,[X] fue escrito en [Y] .
P30,0.0,0.0,0.3755656108597285,0.3755656108597285,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P178,0.003316749585406302,0.003316749585406302,0.1724709784411277,0.1724709784411277,[X] està desarrollado en [Y] .
P1376,0.10285714285714286,0.10285714285714286,0.23542857142857143,0.23542857142857143,[X] es la capital de [Y] .
P131,0.08375209380234507,0.08375209380234507,0.2562814070351759,0.2562814070351759,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P1412,0.20802534318901794,0.20802534318901794,0.43400211193241817,0.43400211193241817,[X] hablaba [Y] .
P108,0.0,0.0,0.06366630076838639,0.06366630076838639,[X] trabaja para [Y] .
P136,0.0038510911424903724,0.0038510911424903724,0.27214377406931967,0.27214377406931967,[X] [toca;X-Number=SG|tocan;X-Number=PL] musica de [Y] .
P17,0.10561056105610561,0.10561056105610561,0.41089108910891087,0.41089108910891087,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P39,0.0,0.0,0.15639269406392695,0.15639269406392695,[X] tiene la posiciòn de [Y] .
P264,0.0,0.0,0.00772626931567329,0.00772626931567329,[X] [està;X-Number=SG|estan;X-Number=PL] [representado;X-Gender=MASC|representada;X-Gender=FEM|representados;X-Number=PL] por el sello musical [Y] .
P276,0.1,0.1,0.2305084745762712,0.2305084745762712,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P937,0.022556390977443608,0.022556390977443608,0.42105263157894735,0.42105263157894735,[X] trabajaba en [Y] .
P140,0.0,0.0,0.1431980906921241,0.1431980906921241,[X] està [afilado;X-Gender=MASC|afilada;X-Gender=FEM] con la religiòn [Y] .
P1303,0.08176100628930817,0.08176100628930817,0.3867924528301887,0.3867924528301887,[X] [toca;X-Number=SG|tocan;X-Number=PL] [DEF;Y] [Y] .
P127,0.0,0.0,0.12473572938689217,0.12473572938689217,El [dueño;Y-Gender=MASC|dueña;Y-Gender=FEM] de [X] es [Y] .
P103,0.02854122621564482,0.02854122621564482,0.35306553911205074,0.35306553911205074,El idioma nativo de [X] es [Y] .
P190,0.011122345803842264,0.011122345803842264,0.33367037411526795,0.33367037411526795,[X] y [Y] son ciudades gemelas.
P1001,0.44990892531876137,0.44990892531876137,0.5154826958105647,0.5154826958105647,[X] es un tema legal de [Y] .
P31,0.08348794063079777,0.08348794063079777,0.18181818181818182,0.18181818181818182,[X] es un ejemplo de [ART;Y-Gender] [Y] .
P495,0.0016778523489932886,0.0016778523489932886,0.053691275167785234,0.053691275167785234,[X] fue [creado;X-Gender=MASC|creada;X-Gender=FEM] en [Y] .
P159,0.11328125,0.11328125,0.41796875,0.41796875,La sede de [X] està en [Y] .
P36,0.09211986681465038,0.09211986681465038,0.15205327413984462,0.15205327413984462,La capital de [X] es [Y] .
P740,0.0,0.0,0.1967821782178218,0.1967821782178218,[X] fue [fundado;X-Gender=MASC|fundada;X-Gender=FEM] en [Y] .
P361,0.006514657980456026,0.006514657980456026,0.11563517915309446,0.11563517915309446,[X] es parte de [Y] .
