relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.006125574272588055,0.006125574272588055,0.31546707503828486,0.31546707503828486,[X] nació en [Y] .
P20,0.003676470588235294,0.003676470588235294,0.11580882352941177,0.11580882352941177,[X] murió en [Y] .
P279,0.04417670682730924,0.04417670682730924,0.28714859437751006,0.28714859437751006,[X] es una subclase de [Y] .
P37,0.0,0.0,0.45232273838630804,0.45232273838630804,La lengua oficial de [X] es [Y] .
P413,0.23380281690140844,0.23380281690140844,0.36338028169014086,0.36338028169014086,[X] juega en la posición de [Y] .
P166,0.0,0.0,0.14039125431530494,0.14039125431530494,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.28027681660899656,0.28027681660899656,[X] fue emitido originalmente en [Y] .
P69,0.0,0.0,0.18317972350230416,0.18317972350230416,[X] fue educado en la Universidad de [Y] .
P47,0.023411371237458192,0.023411371237458192,0.26588628762541805,0.26588628762541805,[X] comparte una frontera con [Y] .
P138,0.08221797323135756,0.08221797323135756,0.2294455066921606,0.2294455066921606,[X] recibiò su nombre de [Y] .
P364,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413,El idioma original de [X] es [Y] .
P54,0.0,0.0,0.10852713178294573,0.10852713178294573,[X] juega con [Y] .
P463,0.001128668171557562,0.001128668171557562,0.09142212189616253,0.09142212189616253,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.002702702702702703,0.002702702702702703,0.08648648648648649,0.08648648648648649,[X] trabaja en [Y] .
P1923,0.0,0.0,0.0036188178528347406,0.0036188178528347406,[Y] participo en [X] .
P106,0.007751937984496124,0.007751937984496124,0.2364341085271318,0.2364341085271318,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.011251758087201125,0.011251758087201125,0.22362869198312235,0.22362869198312235,[X] consiste de [Y] .
P102,0.0,0.0,0.06279620853080568,0.06279620853080568,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.0047169811320754715,0.0047169811320754715,0.10849056603773585,0.10849056603773585,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.296137339055794,0.296137339055794,0.388412017167382,0.388412017167382,[X] es producido por [Y] .
P27,0.4419889502762431,0.4419889502762431,0.570902394106814,0.570902394106814,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
P407,0.02040816326530612,0.02040816326530612,0.23469387755102042,0.23469387755102042,[X] fue escrito en [Y] .
P30,0.007936507936507936,0.007936507936507936,0.2857142857142857,0.2857142857142857,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P178,0.0102880658436214,0.0102880658436214,0.23868312757201646,0.23868312757201646,[X] està desarrollado en [Y] .
P1376,0.031292517006802724,0.031292517006802724,0.20272108843537415,0.20272108843537415,[X] es la capital de [Y] .
