relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.06321839080459771,0.06321839080459771,[X] was born in [Y] .
P20,0.0,0.0,0.12408759124087591,0.12408759124087591,[X] died in [Y] .
P279,0.004792332268370607,0.004792332268370607,0.14376996805111822,0.14376996805111822,[X] is a subclass of [Y] .
P37,0.0,0.0,0.06598984771573604,0.06598984771573604,The official language of [X] is [Y] .
P413,0.0,0.0,0.018867924528301886,0.018867924528301886,[X] plays in [Y] position .
P166,0.0,0.0,0.043043043043043044,0.043043043043043044,[X] was awarded the [Y] .
P449,0.0,0.0,0.3076923076923077,0.3076923076923077,[X] was originally aired on [Y] .
P69,0.0,0.0,0.1231079717457114,0.1231079717457114,[X] was educated at the University of [Y] .
P47,0.0,0.0,0.09190371991247265,0.09190371991247265,[X] shares border with [Y] .
P138,0.0,0.0,0.005701254275940707,0.005701254275940707,[X] is named after [Y] .
P364,0.0,0.0,0.0,0.0,The original language of [X] is [Y] .
P54,0.0,0.0,0.12951807228915663,0.12951807228915663,[X] plays with [Y] .
P463,0.0,0.0,0.050314465408805034,0.050314465408805034,[X] is a member of [Y] .
P101,0.0,0.0,0.03718459495351926,0.03718459495351926,[X] works in the field of [Y] .
P1923,0.0,0.0,0.07142857142857142,0.07142857142857142,[Y] participated in the [X] .
P106,0.0,0.0,0.0,0.0,[X] is a [Y] by profession .
P527,0.0,0.0,0.1769041769041769,0.1769041769041769,[X] consists of [Y] .
P102,0.0,0.0,0.06526104417670683,0.06526104417670683,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.23125,0.23125,[X] maintains diplomatic relations with [Y] .
P176,0.0,0.0,0.08636977058029689,0.08636977058029689,[X] is produced by [Y] .
P27,0.0,0.0,0.08921933085501858,0.08921933085501858,[X] is [Y] citizen .
P407,0.0,0.0,0.12903225806451613,0.12903225806451613,[X] was written in [Y] .
P30,0.0,0.0,0.08,0.08,[X] is located in [Y] .
P178,0.0,0.0,0.033816425120772944,0.033816425120772944,[X] is developed by [Y] .
P1376,0.0,0.0,0.12262958280657396,0.12262958280657396,[X] is the capital of [Y] .
P131,0.0,0.0,0.08780487804878048,0.08780487804878048,[X] is located in [Y] .
P1412,0.0,0.0,0.08,0.08,[X] used to communicate in [Y] .
P108,0.0,0.0,0.11122554067971163,0.11122554067971163,[X] works for [Y] .
P136,0.0,0.0,0.0832313341493268,0.0832313341493268,[X] plays [Y] music .
P17,0.0,0.0,0.10661764705882353,0.10661764705882353,[X] is located in [Y] .
P39,0.0,0.0,0.10614525139664804,0.10614525139664804,[X] has the position of [Y] .
P264,0.0,0.0,0.13469827586206898,0.13469827586206898,[X] is represented by music label [Y] .
P276,0.0027100271002710027,0.0027100271002710027,0.13956639566395665,0.13956639566395665,[X] is located in [Y] .
P937,0.0,0.0,0.24170616113744076,0.24170616113744076,[X] used to work in [Y] .
P140,0.0,0.0,0.2727272727272727,0.2727272727272727,[X] is affiliated with the [Y] religion .
P1303,0.0,0.0,0.4200743494423792,0.4200743494423792,[X] plays [Y] .
P127,0.0,0.0,0.11617312072892938,0.11617312072892938,[X] is owned by [Y] .
P103,0.0,0.0,0.0,0.0,The native language of [X] is [Y] .
P190,0.0,0.0,0.11142857142857143,0.11142857142857143,[X] and [Y] are twin cities .
P1001,0.0,0.0,0.09853249475890985,0.09853249475890985,[X] is a legal term in [Y] .
P31,0.02564102564102564,0.02564102564102564,0.13725490196078433,0.13725490196078433,[X] is a [Y] .
P495,0.0,0.0,0.2574385510996119,0.2574385510996119,[X] was created in [Y] .
P159,0.0,0.0,0.0784313725490196,0.0784313725490196,The headquarter of [X] is in [Y] .
P36,0.0,0.0,0.11875843454790823,0.11875843454790823,The capital of [X] is [Y] .
P740,0.0,0.0,0.19230769230769232,0.19230769230769232,[X] was founded in [Y] .
P361,0.0,0.0,0.11508379888268157,0.11508379888268157,[X] is part of [Y] .
