relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.011764705882352941,0.011764705882352941,[X] nació en [Y] .
P20,0.0,0.0,0.27925531914893614,0.27925531914893614,[X] murió en [Y] .
P279,0.09583333333333334,0.09583333333333334,0.22083333333333333,0.22083333333333333,[X] es una subclase de [Y] .
P37,0.0,0.0,0.0019157088122605363,0.0019157088122605363,La lengua oficial de [X] es [Y] .
P413,0.0,0.0,0.0,0.0,[X] juega en la posición de [Y] .
P166,,,,,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.0,0.0,[X] fue emitido originalmente en [Y] .
P69,,,,,[X] fue educado en la Universidad de [Y] .
P47,0.007792207792207792,0.007792207792207792,0.023376623376623377,0.023376623376623377,[X] comparte una frontera con [Y] .
P138,0.0,0.0,0.08,0.08,[X] recibiò su nombre de [Y] .
P364,0.12,0.12,0.23692307692307693,0.23692307692307693,El idioma original de [X] es [Y] .
P54,,,,,[X] juega con [Y] .
P463,0.0,0.0,0.021739130434782608,0.021739130434782608,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.0,0.0,0.2625,0.2625,[X] trabaja en [Y] .
P1923,0.0,0.0,1.0,1.0,[Y] participo en [X] .
P106,0.0,0.0,0.15789473684210525,0.15789473684210525,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.007462686567164179,0.007462686567164179,0.029850746268656716,0.029850746268656716,[X] consiste de [Y] .
P102,,,,,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.0025380710659898475,0.0025380710659898475,0.12309644670050761,0.12309644670050761,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.23529411764705882,0.23529411764705882,0.49019607843137253,0.49019607843137253,[X] es producido por [Y] .
P27,0.02295918367346939,0.02295918367346939,0.03316326530612245,0.03316326530612245,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
P407,0.0033500837520938024,0.0033500837520938024,0.021775544388609715,0.021775544388609715,[X] fue escrito en [Y] .
P30,0.0,0.0,0.07278481012658228,0.07278481012658228,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P178,0.0,0.0,0.008547008547008548,0.008547008547008548,[X] està desarrollado en [Y] .
P1376,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.42857142857142855,[X] es la capital de [Y] .
P131,0.07511737089201878,0.07511737089201878,0.15492957746478872,0.15492957746478872,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P1412,0.17380352644836272,0.17380352644836272,0.30982367758186397,0.30982367758186397,[X] hablaba [Y] .
P108,0.0,0.0,0.54,0.54,[X] trabaja para [Y] .
P136,0.008368200836820083,0.008368200836820083,0.12552301255230125,0.12552301255230125,[X] [toca;X-Number=SG|tocan;X-Number=PL] musica de [Y] .
P17,0.05405405405405406,0.05405405405405406,0.17297297297297298,0.17297297297297298,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P39,0.0,0.0,0.02066115702479339,0.02066115702479339,[X] tiene la posiciòn de [Y] .
P264,0.0,0.0,0.5,0.5,[X] [està;X-Number=SG|estan;X-Number=PL] [representado;X-Gender=MASC|representada;X-Gender=FEM|representados;X-Number=PL] por el sello musical [Y] .
P276,0.0873015873015873,0.0873015873015873,0.20634920634920634,0.20634920634920634,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P937,0.015437392795883362,0.015437392795883362,0.2967409948542024,0.2967409948542024,[X] trabajaba en [Y] .
P140,0.0,0.0,0.5315315315315315,0.5315315315315315,[X] està [afilado;X-Gender=MASC|afilada;X-Gender=FEM] con la religiòn [Y] .
P1303,0.0777479892761394,0.0777479892761394,0.4584450402144772,0.4584450402144772,[X] [toca;X-Number=SG|tocan;X-Number=PL] [DEF;Y] [Y] .
P127,0.0,0.0,0.49122807017543857,0.49122807017543857,El [dueño;Y-Gender=MASC|dueña;Y-Gender=FEM] de [X] es [Y] .
P103,0.0011547344110854503,0.0011547344110854503,0.1258660508083141,0.1258660508083141,El idioma nativo de [X] es [Y] .
P190,0.0,0.0,0.2335958005249344,0.2335958005249344,[X] y [Y] son ciudades gemelas.
P1001,0.7743362831858407,0.7743362831858407,0.8185840707964602,0.8185840707964602,[X] es un tema legal de [Y] .
P31,0.14193548387096774,0.14193548387096774,0.15483870967741936,0.15483870967741936,[X] es un ejemplo de [ART;Y-Gender] [Y] .
P495,0.0,0.0,0.02247191011235955,0.02247191011235955,[X] fue [creado;X-Gender=MASC|creada;X-Gender=FEM] en [Y] .
P159,0.1111111111111111,0.1111111111111111,0.5151515151515151,0.5151515151515151,La sede de [X] està en [Y] .
P36,0.40625,0.40625,0.6171875,0.6171875,La capital de [X] es [Y] .
P740,0.0,0.0,0.0,0.0,[X] fue [fundado;X-Gender=MASC|fundada;X-Gender=FEM] en [Y] .
P361,0.0,0.0,0.045454545454545456,0.045454545454545456,[X] es parte de [Y] .
