P19,,,,,[X] ਦਾ ਜਨਮ [Y] ਵਿੱਚ ਹੋਇਆ ਸੀ
P20,,,,,[X] ਦੀ ਮੌਤ [Y] ਵਿਚ ਹੋਈ 
P279,,,,,[X] ਇਕ ਕਿਸਮ ਦਾ [Y] ਹੈ
P37,,,,,[X] ਦੀ ਸਰਕਾਰੀ ਭਾਸ਼ਾ [Y] ਹੈ
P413,,,,,[X] [Y] ਥਾਂ ਤੇ ਖੇਡਦਾ ਹੈ
P166,,,,,[X] ਨੂੰ [Y] ਪੁਰਸਕਾਰ ਮਿਲਿਆ
P449,,,,,[X] ਨੂੰ ਪਹਿਲਾਂ [Y] ਤੇ ਪ੍ਰਸਾਰਿਤ ਕੀਤਾ ਗਿਆ ਸੀ
P69,,,,,[X] ਨੇ [Y] ਤੋਂ ਤਾਲੀਮ ਹਾਸਿਲ ਕੀਤੀ
P47,,,,,[X] [Y] ਦੇ ਨਾਲ ਇਕ ਸਰਹੱਦ ਸਾਂਝੀ ਕਰਦਾ ਏ
P138,,,,,[X] ਦਾ ਨਾਂ [Y] ਤੇ ਉਤੇ ਰੱਖਿਆ ਗਯਾ ਏ
P364,,,,,[X] ਅਸਲ ਵਿੱਚ  [Y] ਵਿੱਚ ਲਿਖਾ ਗਯਾ ਸੀ |
P54,,,,,[X] [Y] ਨਾਲ ਖੇਡਦਾ ਹੈ
P463,,,,,[X] [Y] ਦਾ ਮੈਂਬਰ ਹੈ
P101,,,,,[X] [Y] ਵਿੱਚ ਕੰਮ ਕਰਦਾ ਹੈ.
P1923,,,,,[X] ਨੇ [Y] ਵਿੱਚ  ਹਿੱਸਾ ਲਿਆ.
P106,,,,,[X] ਪੇਸ਼ੇ ਦੁਆਰਾ ਇੱਕ [Y] ਹੈ.
P527,,,,,[Y] [X] ਦਾ ਹਿੱਸਾ ਹੈ
P102,,,,,[X] [Y] ਰਾਜਨੀਤਿਕ ਪਾਰਟੀ ਦਾ ਮੈਂਬਰ ਹੈ
P530,,,,,[X] [Y] ਨਾਲ ਕੂਟਨੀਤਕ ਸੰਬੰਧ ਕਾਇਮ ਰੱਖਦਾ ਹੈ.
P176,,,,,[X] ਦਾ ਨਿਰਮਾਤਾ [Y] ਹੈ।
P27,,,,,[X] [Y] ਦਾ ਨਾਗਰਿਕ ਹੈ.
P407,,,,,[X] ਵਿਚ ਲਿਖਿਆ ਗਿਯਾ ਸੀ [Y].
P30,,,,,[X] ਵਿੱਚ ਸਥਿਤ ਹੈ [Y].
P178,,,,,[X] ਨੂੰ [Y] ਦੁਆਰਾ ਵਿਕਸਤ ਕੀਤਾ ਗਿਆ ਹੈ.
P1376,,,,,[X] [Y] ਦੀ ਰਾਜਧਾਨੀ ਹੈ.
P131,,,,,[X] [Y] ਵਿਚ ਸਥਿਤ ਹੈ
P1412,,,,,[X] ਦਾ ੳਪਯੋਗ [Y] ਵਿਚ ਸੰਚਾਰ ਕਰਨ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ
P108,,,,,[X] [Y] ਲਈ ਕੰਮ ਕਰਦਾ ਹੈ.
P136,,,,,[X] [Y] ਸੰਗੀਤ ਵਜਾਉਂਦਾ ਹੈ.
P17,,,,,[X] [Y] ਵਿਚ ਸਥਿਤ ਹੈ
P39,,,,,[X] ਕੋਲ [Y] ਦੀ ਪੋਸਟ ਹੈ
P264,,,,,[X] [Y] ਨਾਲ ਜੁੜਿਆ ਹੋਇਆ ਹੈ
P276,,,,,[X] [Y] ਵਿੱਚ ਸਥਿਤ ਹੈ
P937,,,,,[X] [Y] ਵਿਚ ਕੰਮ ਕਰਦਾ ਸੀ.
P140,,,,,[X] [Y] ਧਰਮ ਨਾਲ ਜੁੜਿਆ ਹੋਇਆ ਹੈ.
P1303,,,,,[X] [Y] ਵਜਾਉਂਦਾ ਹੈ
P127,,,,,[X] [Y] ਦਾ ਮਾਲਿਕ ਹੈ
P103,,,,,[X] ਦੀ ਮੂਲ ਭਾਸ਼ਾ [Y] ਹੈ
P190,,,,,[X] ਅਤੇ [Y] ਜੁੜਵੇਂ ਸ਼ਹਿਰ ਹਨ.
P1001,,,,,[X] [Y] ਵਿਚ ਇਕ ਕਾਨੂੰਨੀ ਸ਼ਬਦ ਹੈ .
P31,,,,,[X] ਇਕ [Y] ਹੈ.
P495,,,,,[X] ਨੂੰ [Y] ਵਿੱਚ ਬਣਾਇਆ ਗਿਆ ਸੀ.
P159,,,,,[X] ਦਾ ਮੁੱਖ ਦਫਤਰ [Y] ਵਿਚ ਹੈ.
P36,,,,,[X] ਦੀ ਰਾਜਧਾਨੀ [Y] ਹੈ.
P740,,,,,[X] ਦੀ ਸਥਾਪਨਾ [Y] ਵਿੱਚ ਕੀਤੀ ਗਈ ਸੀ.
P361,,,,,[X] [Y] ਦਾ ਹਿੱਸਾ ਹੈ.
