relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.011764705882352941,0.011764705882352941,0.20392156862745098,0.20392156862745098,[X] nació en [Y] .
P20,0.0026595744680851063,0.0026595744680851063,0.9308510638297872,0.9308510638297872,[X] murió en [Y] .
P279,0.18333333333333332,0.18333333333333332,0.6375,0.6375,[X] es una subclase de [Y] .
P37,0.007662835249042145,0.007662835249042145,0.044061302681992334,0.044061302681992334,La lengua oficial de [X] es [Y] .
P413,0.0,0.0,0.22274881516587677,0.22274881516587677,[X] juega en la posición de [Y] .
P166,,,,,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.58,0.58,[X] fue emitido originalmente en [Y] .
P69,,,,,[X] fue educado en la Universidad de [Y] .
P47,0.03116883116883117,0.03116883116883117,0.14025974025974025,0.14025974025974025,[X] comparte una frontera con [Y] .
P138,0.0,0.0,0.42,0.42,[X] recibiò su nombre de [Y] .
P364,0.36615384615384616,0.36615384615384616,0.8984615384615384,0.8984615384615384,El idioma original de [X] es [Y] .
P54,,,,,[X] juega con [Y] .
P463,0.10869565217391304,0.10869565217391304,0.391304347826087,0.391304347826087,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.0,0.0,0.68125,0.68125,[X] trabaja en [Y] .
P1923,0.0,0.0,1.0,1.0,[Y] participo en [X] .
P106,0.04532163742690058,0.04532163742690058,0.6271929824561403,0.6271929824561403,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.04477611940298507,0.04477611940298507,0.19402985074626866,0.19402985074626866,[X] consiste de [Y] .
P102,,,,,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.0025380710659898475,0.0025380710659898475,0.30076142131979694,0.30076142131979694,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.3137254901960784,0.3137254901960784,0.9411764705882353,0.9411764705882353,[X] es producido por [Y] .
P27,0.11479591836734694,0.11479591836734694,0.41836734693877553,0.41836734693877553,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
P407,0.021775544388609715,0.021775544388609715,0.5946398659966499,0.5946398659966499,[X] fue escrito en [Y] .
P30,0.0,0.0,0.4620253164556962,0.4620253164556962,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P178,0.0,0.0,0.05982905982905983,0.05982905982905983,[X] està desarrollado en [Y] .
P1376,0.5071428571428571,0.5071428571428571,0.65,0.65,[X] es la capital de [Y] .
P131,0.19718309859154928,0.19718309859154928,0.5117370892018779,0.5117370892018779,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P1412,0.24811083123425692,0.24811083123425692,0.49370277078085645,0.49370277078085645,[X] hablaba [Y] .
P108,0.0,0.0,0.88,0.88,[X] trabaja para [Y] .
P136,0.012552301255230125,0.012552301255230125,0.8577405857740585,0.8577405857740585,[X] [toca;X-Number=SG|tocan;X-Number=PL] musica de [Y] .
P17,0.17027027027027028,0.17027027027027028,0.5513513513513514,0.5513513513513514,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P39,0.0,0.0,0.10330578512396695,0.10330578512396695,[X] tiene la posiciòn de [Y] .
P264,0.0,0.0,1.0,1.0,[X] [està;X-Number=SG|estan;X-Number=PL] [representado;X-Gender=MASC|representada;X-Gender=FEM|representados;X-Number=PL] por el sello musical [Y] .
P276,0.23809523809523808,0.23809523809523808,0.626984126984127,0.626984126984127,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P937,0.036020583190394515,0.036020583190394515,0.6689536878216124,0.6689536878216124,[X] trabajaba en [Y] .
P140,0.0,0.0,0.7297297297297297,0.7297297297297297,[X] està [afilado;X-Gender=MASC|afilada;X-Gender=FEM] con la religiòn [Y] .
P1303,0.20911528150134048,0.20911528150134048,0.9892761394101877,0.9892761394101877,[X] [toca;X-Number=SG|tocan;X-Number=PL] [DEF;Y] [Y] .
P127,0.0,0.0,0.8596491228070176,0.8596491228070176,El [dueño;Y-Gender=MASC|dueña;Y-Gender=FEM] de [X] es [Y] .
P103,0.03117782909930716,0.03117782909930716,0.3741339491916859,0.3741339491916859,El idioma nativo de [X] es [Y] .
P190,0.02099737532808399,0.02099737532808399,0.7270341207349081,0.7270341207349081,[X] y [Y] son ciudades gemelas.
P1001,0.8185840707964602,0.8185840707964602,0.9026548672566371,0.9026548672566371,[X] es un tema legal de [Y] .
P31,0.2645161290322581,0.2645161290322581,0.4129032258064516,0.4129032258064516,[X] es un ejemplo de [ART;Y-Gender] [Y] .
P495,0.011235955056179775,0.011235955056179775,0.23595505617977527,0.23595505617977527,[X] fue [creado;X-Gender=MASC|creada;X-Gender=FEM] en [Y] .
P159,0.18181818181818182,0.18181818181818182,0.9393939393939394,0.9393939393939394,La sede de [X] està en [Y] .
P36,0.5859375,0.5859375,0.984375,0.984375,La capital de [X] es [Y] .
P740,0.0,0.0,0.381294964028777,0.381294964028777,[X] fue [fundado;X-Gender=MASC|fundada;X-Gender=FEM] en [Y] .
P361,0.030303030303030304,0.030303030303030304,0.4090909090909091,0.4090909090909091,[X] es parte de [Y] .
