relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.0,0.0,0.011764705882352941,0.011764705882352941,[X] nació en [Y] .
P20,0.0,0.0,0.27925531914893614,0.27925531914893614,[X] murió en [Y] .
P279,0.09583333333333334,0.09583333333333334,0.22083333333333333,0.22083333333333333,[X] es una subclase de [Y] .
P37,0.0,0.0,0.0019157088122605363,0.0019157088122605363,La lengua oficial de [X] es [Y] .
P413,0.0,0.0,0.0,0.0,[X] juega en la posición de [Y] .
P166,,,,,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.0,0.0,[X] fue emitido originalmente en [Y] .
P69,,,,,[X] fue educado en la Universidad de [Y] .
P47,0.007792207792207792,0.007792207792207792,0.023376623376623377,0.023376623376623377,[X] comparte una frontera con [Y] .
P138,0.0,0.0,0.08,0.08,[X] recibiò su nombre de [Y] .
P364,0.12,0.12,0.23692307692307693,0.23692307692307693,El idioma original de [X] es [Y] .
P54,,,,,[X] juega con [Y] .
P463,0.0,0.0,0.021739130434782608,0.021739130434782608,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.0,0.0,0.2625,0.2625,[X] trabaja en [Y] .
P1923,0.0,0.0,1.0,1.0,[Y] participo en [X] .
P106,0.0,0.0,0.15789473684210525,0.15789473684210525,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.007462686567164179,0.007462686567164179,0.029850746268656716,0.029850746268656716,[X] consiste de [Y] .
P102,,,,,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.0025380710659898475,0.0025380710659898475,0.12309644670050761,0.12309644670050761,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.23529411764705882,0.23529411764705882,0.49019607843137253,0.49019607843137253,[X] es producido por [Y] .
P27,0.02295918367346939,0.02295918367346939,0.03316326530612245,0.03316326530612245,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
