relation,acc,acc_ori,len_acc,len_acc_ori,prompt
P19,0.011764705882352941,0.011764705882352941,0.20392156862745098,0.20392156862745098,[X] nació en [Y] .
P20,0.0026595744680851063,0.0026595744680851063,0.9308510638297872,0.9308510638297872,[X] murió en [Y] .
P279,0.18333333333333332,0.18333333333333332,0.6375,0.6375,[X] es una subclase de [Y] .
P37,0.007662835249042145,0.007662835249042145,0.044061302681992334,0.044061302681992334,La lengua oficial de [X] es [Y] .
P413,0.0,0.0,0.22274881516587677,0.22274881516587677,[X] juega en la posición de [Y] .
P166,,,,,[X] recibió [DEF;Y] [Y] .
P449,0.0,0.0,0.58,0.58,[X] fue emitido originalmente en [Y] .
P69,,,,,[X] fue educado en la Universidad de [Y] .
P47,0.03116883116883117,0.03116883116883117,0.14025974025974025,0.14025974025974025,[X] comparte una frontera con [Y] .
P138,0.0,0.0,0.42,0.42,[X] recibiò su nombre de [Y] .
P364,0.36615384615384616,0.36615384615384616,0.8984615384615384,0.8984615384615384,El idioma original de [X] es [Y] .
P54,,,,,[X] juega con [Y] .
P463,0.10869565217391304,0.10869565217391304,0.391304347826087,0.391304347826087,[X] es [ART;X-Gender] [miembro;X-Gender=MASC|miembra;X-Gender=FEM] de [Y] .
P101,0.0,0.0,0.68125,0.68125,[X] trabaja en [Y] .
P1923,0.0,0.0,1.0,1.0,[Y] participo en [X] .
P106,0.04532163742690058,0.04532163742690058,0.6271929824561403,0.6271929824561403,[X] es [ART;Y-Gender] [Y] de profesiòn .
P527,0.04477611940298507,0.04477611940298507,0.19402985074626866,0.19402985074626866,[X] consiste de [Y] .
P102,,,,,[X] es [miembro;X-Gender=MASC|miembra;X-Gender=FEM] del partido [Y] .
P530,0.0025380710659898475,0.0025380710659898475,0.30076142131979694,0.30076142131979694,[X] mantiene relaciones diplomaticas con [Y] .
P176,0.3137254901960784,0.3137254901960784,0.9411764705882353,0.9411764705882353,[X] es producido por [Y] .
P27,0.11479591836734694,0.11479591836734694,0.41836734693877553,0.41836734693877553,[X] es [ciudadano;X-Gender=MASC|ciudadana;X-Gender=FEM] de [Y] .
P407,0.021775544388609715,0.021775544388609715,0.5946398659966499,0.5946398659966499,[X] fue escrito en [Y] .
P30,0.0,0.0,0.4620253164556962,0.4620253164556962,[X] està [localizado;X-Gender=MASC|localizada;X-Gender=FEM] en [Y] .
P178,0.0,0.0,0.05982905982905983,0.05982905982905983,[X] està desarrollado en [Y] .
P1376,0.5071428571428571,0.5071428571428571,0.65,0.65,[X] es la capital de [Y] .
