CountryName,CapitalName,CountryNameDutch,CapitalNameDutch
Afghanistan,Kabul,Afghanistan,Kabul
Aland Islands,Mariehamn,Aland,Mariehamn
Albania,Tirana,Albanië,Tirana
Algeria,Algiers,Algerije,Algiers
American Samoa,Pago Pago,Amerikaans-Samoa,Pago Pago
Andorra,Andorra la Vella,Andorra,Andorra la Vella
Angola,Luanda,Angola,Luanda
Anguilla,The Valley,Anguilla,The Valley
Antarctica,N/A,Antarctica,N/A
Antigua and Barbuda,Saint John's,Antigua en Barbuda,Saint John's
Argentina,Buenos Aires,Argentinië,Buenos Aires
Armenia,Yerevan,Armenië,Jerevan
Aruba,Oranjestad,Aruba,Oranjestad
Australia,Canberra,Australië,Canberra
Austria,Vienna,Oostenrijk,Wenen
Azerbaijan,Baku,Azerbeidzjan,Bakoe
Bahamas,Nassau,Bahama's,Nassau
Bahrain,Manama,Bahrein,Manama
Bangladesh,Dhaka,Bangladesh,Dhaka
Barbados,Bridgetown,Barbados,Bridgetown
Belarus,Minsk,Wit-Rusland,Minsk
Belgium,Brussels,België,Brussel
Belize,Belmopan,Belize,Belmopan
Benin,Porto-Novo,Benin,Porto-Novo
Bermuda,Hamilton,Bermuda,Hamilton
Bhutan,Thimphu,Bhutan,Thimphu
Bolivia,La Paz,Bolivia,Sucre
Bosnia and Herzegovina,Sarajevo,Bosnië en Herzegovina,Sarajevo
Botswana,Gaborone,Botswana,Gaborone
Brazil,Brasilia,Brazilië,Brasilia
British Indian Ocean Territory,Diego Garcia,Brits Indische Oceaanterritorium,N/A
British Virgin Islands,Road Town,Britse Maagdeneilanden,Road Town
Brunei Darussalam,Bandar Seri Begawan,Brunei,Bandar Seri Begawan
Bulgaria,Sofia,Bulgarije,Sofia
Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou
Burundi,Bujumbura,Burundi,Gitega
Cambodia,Phnom Penh,Cambodja,Phnom Penh
Cameroon,Yaounde,Kameroen,Yaoundé
Canada,Ottawa,Canada,Ottawa
Cape Verde,Praia,Kaapverdië,Praia
Cayman Islands,George Town,Kaaimaneilanden,George Town
Central African Republic,Bangui,Centraal-Afrikaanse Republiek,Bangui
Chad,N'Djamena,Tsjaad,Ndjamena
Chile,Santiago,Chili,Santiago
China,Beijing,China,Peking
Christmas Island,The Settlement,Christmaseiland,The Settlement
Cocos Islands,West Island,Cocoseilanden,West Island
Colombia,Bogota,Colombia,Bogota
Comoros,Moroni,Comoren,Moroni
Cook Islands,Avarua,Cookeilanden,Avarua
Costa Rica,San Jose,Costa Rica,San José
Cote d'Ivoire,Yamoussoukro,Ivoorkust,Yamoussoukro
Croatia,Zagreb,Kroatië,Zagreb
Cuba,Havana,Cuba,Havana
Curaçao,Willemstad,Curaçao,Willemstad
Cyprus,Nicosia,Cyprus,Nicosia
Czech Republic,Prague,Tsjechië,Praag
Democratic Republic of the Congo,Kinshasa,Congo-Kinshasa,Kinshasa
Denmark,Copenhagen,Denemarken,Kopenhagen
Djibouti,Djibouti,Djibouti,Djibouti
Dominica,Roseau,Dominica,Roseau
Dominican Republic,Santo Domingo,Dominicaanse Republiek,Santo Domingo
Ecuador,Quito,Ecuador,Quito
Egypt,Cairo,Egypte,Caïro
El Salvador,San Salvador,El Salvador,San Salvador
Equatorial Guinea,Malabo,Equatoriaal-Guinea,Malabo
Eritrea,Asmara,Eritrea,Asmara
Estonia,Tallinn,Estland,Tallinn
Ethiopia,Addis Ababa,Ethiopië,Addis Abeba
Falkland Islands,Stanley,Falklandeilanden,Stanley
Faroe Islands,Torshavn,Faeröer,Torshavn
Federated States of Micronesia,Palikir,Micronesië,Palikir
Fiji,Suva,Fiji,Suva
Finland,Helsinki,Finland,Helsinki
France,Paris,Frankrijk,Parijs
French Polynesia,Papeete,Frans-Polynesië,Papeete
French Southern and Antarctic Lands,Port-aux-Français,Franse Zuidelijke Gebieden,Port-aux-Français
Gabon,Libreville,Gabon,Libreville
Georgia,Tbilisi,Georgië,Tbilisi
Germany,Berlin,Duitsland,Berlijn
Ghana,Accra,Ghana,Accra
Gibraltar,Gibraltar,Gibraltar,Gibraltar
Greece,Athens,Griekenland,Athene
Greenland,Nuuk,Groenland,Nuuk
Grenada,Saint George's,Grenada,Saint George's
Guam,Hagatna,Guam,Hagatna
Guatemala,Guatemala City,Guatemala,Guatemala-Stad
Guernsey,Saint Peter Port,Guernsey,Saint Peter Port
Guinea,Conakry,Guinee-Conakry,Conakry
Guinea-Bissau,Bissau,Guinee-Bissau,Bissau
Guyana,Georgetown,Guyana,Georgetown
Haiti,Port-au-Prince,Haïti,Port-au-Prince
Heard Island and McDonald Islands,N/A,Heard en McDonaldeilanden,N/A
Honduras,Tegucigalpa,Honduras,Tegucigalpa
Hong Kong,N/A,Hong Kong,N/A
Hungary,Budapest,Hongarije,Boedapest
Iceland,Reykjavik,IJsland,Reykjavik
India,New Delhi,India,New Delhi
Indonesia,Jakarta,Indonesië,Jakarta
Iran,Tehran,Iran,Teheran
